Nombre,Tipo,Subtipo,Estatus,Direccion Fisica,Region,Region Zipcode,Municipio,Fipcode,Zipcode,Contacto,Telefono,Tipo de Licencia,Numero de Licencia,Expiracion de Licencia,Estatus de Licencia,Capacidad
Inst. Hogar El Verde,Adultos Mayores,Institucion de Adultos,Operando,"Urb. El Verde Calle Saturno #11, Caguas",Caguas,725,Caguas,72025,725,Marisol,(787)-993-5311,Licenciado,355,1/11/2025,Al dia,21
Inst. Hogar San Alfonso,Adultos Mayores,Institucion de Adultos,Operando,Urb. San Alfonso A 28 Calle Margarita,Caguas,725,Caguas,72025,725,Marisol,(787)-286-2474,Licenciado,316,1/27/2024,Al dia,21
Inst. Hogar El Flamboyan,Adultos Mayores,Institucion de Adultos,Operando,"Carr. 796 Km 0.4 Bo. Guasabara Sector El Eden Lote 9, Caguas",Caguas,725,Caguas,72025,725,Yaranis,(787)-202-0908,Licenciado,371,6/21/2025,Al dia,24
Inst. Hogar Jesus De Santa Maria,Adultos Mayores,Institucion de Adultos,Operando,"Carr. 172, Int. 785, Bo. Canaboncito, Sector Villa De Oro, Km. 5.8",Caguas,725,Caguas,72025,727,Angela,(787)-744-7701,Licenciado,332,10/21/2023,Al dia,25
Inst. Estancias Dorada,Adultos Mayores,Institucion de Adultos,Operando,"Urb. San Alfonso, Calle Verde Luz B-32",Caguas,725,Caguas,72025,725,Keila,(787)-746-6835,Licenciado,344,4/11/2024,Al dia,26
"Inst. Hogar Villa Del Carmen, Inc.",Adultos Mayores,Institucion de Adultos,Operando,Bo. Tomas De Castro Carr. 183 Km 4.9 Sector El Cinco,Caguas,725,Caguas,72025,725,Carmen,(787)-249-5346,Licenciado,359,8/21/2025,Al dia,26
Inst. Hogar Lara Cotto,Adultos Mayores,Institucion de Adultos,Operando,Urb. San Alfonso B - 17 Calle Verde Luz,Caguas,725,Caguas,72025,725,Luz,(787)-403-3733,Licenciado,235,8/17/2025,Al dia,34
Inst. Hacienda San Antonio Inc.,Adultos Mayores,Institucion de Adultos,Operando,"Bo. San Antonio Carr. 175 R-739 Sect. Km 5.1 Las Carmelitas, Caguas",Caguas,725,Caguas,72025,725,Alicia,(939)-400-7127,Licenciado,310,4/4/2024,Al dia,37
Inst. Mansion El Eden Llc,Adultos Mayores,Institucion de Adultos,Operando,"Carr. 789 Km 1.2 Urb. La Meseta, Calle Los Gonzalez #342 Bo. Tomas De Castro Ii",Caguas,725,Caguas,72025,725,Jonathan,(939)-400-1084,Licenciado,356,2/12/2025,Al dia,37
"Inst. Fundacion Geriatrica Casa De Campo , Inc",Adultos Mayores,Institucion de Adultos,Operando,"Calle 8, # H-3, H-4, H-5 Urb Condado Moderno",Caguas,725,Caguas,72025,725,Carmen,(787)-653-9648,Licenciado,291,3/23/2024,Al dia,38
Inst. The Gardens Llc,Adultos Mayores,Institucion de Adultos,Operando,Calle James Madison #131 Final Urb. Jose Mercado,Caguas,725,Caguas,72025,725,Marjorie,(787)-704-9152,Licenciado,357,4/26/2025,Al dia,49
Campea Hato,Adultos Mayores,CAMPEA,Operando,"Bo. San Salvador, Sector  Hato, Carr. 7765,Km 7.8",Caguas,725,Caguas,72025,725,Marilu,(787)-628-4500,Licenciado,15,2/28/2025,Al dia,50
"Institucion Jardin Dorado, Inc.",Adultos Mayores,Institucion de Adultos,Operando,Urb. Villa Esperanza #72 Calle Bonanza,Caguas,725,Caguas,72025,727,Brenda,(787)-745-0525,Licenciado,185,6/6/2025,Al dia,89
Campea Pedro Lasanta,Adultos Mayores,CAMPEA,Operando,"Urb. Jose Mercado V -128 Calle James Madison, Caguas",Caguas,725,Caguas,72025,725,Lourdes,(787)-746-1033,Licenciado,27,5/22/2025,Al dia,150
Campea Club De Oro,Adultos Mayores,CAMPEA,Operando,Ave. Luis Munoz Marin Lote Num. 5 Urb. Villa Blanca,Caguas,725,Caguas,72025,725,Edgardo,(787)-743-3359,Licenciado,37,5/24/2024,Al dia,175
Inst. Caguas Senior Living,Adultos Mayores,Institucion de Adultos,Operando,"Urb. Residencial Bairoa, Dn1 Calle 40",Guayama,784,Caguas,72025,725,Jesus,(787)-635-3500,Licenciado,185,3/2/2025,Al dia,15
"Inst. Legends Golden Community, Corp.",Adultos Mayores,Institucion de Adultos,Operando,Carr. #1 Km. 26.9 Sector Camino Los Lopez Bo.Quebrada,San Juan,902,Caguas,72025,725,Natalie,(787)-502-0225,Licenciado,161,4/4/2025,Al dia,35
Inst. Hacienda Del Mar Resort For The Golden,Adultos Mayores,Institucion de Adultos,Operando,Carr. 119 Km 11.1 Bo. Cimigueta,Arecibo,612,Camuy,72027,627,Jenny,(787)-309-8246,Licenciado,303,3/15/2025,Al dia,14
Inst. Manuel Acevedo Rosario,Adultos Mayores,Institucion de Adultos,Operando,"Ave. Baltazar Jimenez Mendez Rosa Aquino, Camuy",Arecibo,612,Camuy,72027,627,Ninfa Rosa Aquino,(787)-898-2190,Licenciado,50,10/28/2023,Al dia,16
Centro De Servicos Multiples Para Personas De Edad Avanzada - Camuy,Adultos Mayores,CAMPEA,Operando,"Calle #4 Esquina Con Calle #2, Parcelas Viejas, Bo. Quebrada, Camuy",Arecibo,612,Camuy,72027,627,Idaliis,(787)-898-2160,Licenciado,28,9/12/2024,Al dia,25
"Inst. Golden Savannah, Inc",Adultos Mayores,Institucion de Adultos,Operando,"Carr. 2 Km 92.5, Bo. Membrillo",Arecibo,612,Camuy,72027,627,Yarelys Hernandez,(787)-505-3262,Licenciado,272,8/28/2025,Al dia,26
Emmanuel Community Assistance Service Co.,Adultos Mayores,Institucion de Adultos,Operando,"Carr.  456, Km. 3.1 Bo. Puertos De Camuy",Arecibo,612,Camuy,72027,627,Juan Sonera Mendez,(787)-262-8828,Licenciado,223,6/24/2025,Al dia,40
Inst Hogar Victoria De Los ANgeles,Adultos Mayores,Institucion de Adultos,Operando,"Bo. La Maldonado Carr. #629, Km 22.5",Arecibo,612,Camuy,72027,627,Cathy Lugo Concepcio,(787)-383-8541,Licenciado,221,5/15/2025,Al dia,40
Hogar Colinas Verdes,Adultos Mayores,Institucion de Adultos,Operando,"Bo.Membrillo Carr. 119, Km 7.6",Arecibo,612,Camuy,72027,627,Hector Arvelo Soto,(787)-898-7733,Licenciado,166,5/13/2024,Al dia,69
Centro Manuel Acevedo Rosario,Adultos Mayores,CAMPEA,Operando,"Ave. Baltazar Jimenez, Bo.",Arecibo,612,Camuy,72027,627,Loraine,(787)-898-2190,Licenciado,5,2/11/2024,Al dia,100
"Hogar Sustituto Cuidando De Ti, Inc.",Adultos Mayores,Hogar Sustituto,Operando,Calle Clivia X-913 Urb. Loiza Valley,Carolina,982,Canovanas,72029,729,Marta,(787)-349-9908,Licenciado,164,4/8/2024,Al dia,4
"Inst. Hogar Monte Caleb, Inc",Adultos Mayores,Institucion de Adultos,Operando,"Urb. Villas De Loiza Calle 13 C- 10, Canovanas",Carolina,982,Canovanas,72029,729,Elizabeth,(787)-701-2125,Licenciado,298,7/10/2024,Al dia,14
"Inst. Un Nuevo Amanecer, Inc.",Adultos Mayores,Institucion de Adultos,Operando,"Carr. 185 Ramal 954 Bo. Canovanillas, Canovanas",Carolina,982,Canovanas,72029,729,Evelyn Echevarria,(787)-692-1676,Licenciado,305,11/27/2020,Vencida,16
Campea Eduardo Garcia Carrillo Satelite Cubuy,Adultos Mayores,CAMPEA,Operando,"Carr. 186 Km 7.5 Bo. Cubuy, Canovanas",Carolina,982,Canovanas,72029,729,Milagros Melendez,(787)-504-3961,Licenciado,16,2/9/2018,Vencida,50
Campea Eduardo Garcia Carrillo,Adultos Mayores,CAMPEA,Operando,"Calle Eusebio Iturrino, Canovanas",Carolina,982,Canovanas,72029,729,Angeles,(787)-635-1211,Licenciado,26,10/14/2024,Al dia,150
"Vrai Vie, Llc",Adultos Mayores,Hogar Sustituto,Operando,Calle 446 Nd-2,Carolina,982,Carolina,72031,983,Evelie,(787)-550-6795,Licenciado,184,5/8/2025,Al dia,1
Hogar Pilgrim'S Secret Home Care,Adultos Mayores,Hogar Sustituto,Operando,"Carr. 853 Km. 6.7 Bo. Barrazas,",Carolina,982,Carolina,72031,984,Ada,(787)-408-0580,Licenciado,132,1/17/2024,Al dia,5
"Hogar Mi Nazareno, Inc.",Adultos Mayores,Hogar Sustituto,Operando,Calle Aguila D-50,Carolina,982,Carolina,72031,987,Meraly,(787)-257-1159,Licenciado,183,4/25/2025,Al dia,5
Hogar Perlas Preciosas,Adultos Mayores,Hogar Sustituto,Operando,"Calle 15 M-1, Urb. Castellana Gardens,",Carolina,982,Carolina,72031,983,Matilde,(787)-662-8143,Licenciado,172,3/26/2025,Al dia,6
Hogar Sustituto Oasis Del Mana,Adultos Mayores,Hogar Sustituto,Operando,Via 42 Casa 4 Us 21 Villa Fontana,Carolina,982,Carolina,72031,983,Steven,(787)-528-6336,Licenciado,167,7/10/2024,Al dia,6
Hogar O'Neill,Adultos Mayores,Hogar Sustituto,Operando,"Carr. 853 Km. 6.5 Bo. Barrazas, Carolina",Carolina,982,Carolina,72031,987,Altagracia,(787)-750-0668,Licenciado,160,3/15/2025,Al dia,6
"Inst. Bless By God, Inc.",Adultos Mayores,Institucion de Adultos,Operando,Calle 515 Bloque 207 #2,Carolina,982,Carolina,72031,985,Doris,(787)-675-8980,Licenciado,444,4/24/2024,Al dia,9
Inst. Amor Eterno,Adultos Mayores,Institucion de Adultos,Operando,"Lomas De Carolina, Calle Cerro Taita T-13",Carolina,982,Carolina,72031,982,Heber,(787)-420-9993,Licenciado,430,1/13/2024,Al dia,10
"Inst. Hogar De Cuidado Y Calidad A Envejecientes, Inc",Adultos Mayores,Institucion de Adultos,Operando,"Urb. Villa Carolina 71-50 Calle 59, Extension 3",Carolina,982,Carolina,72031,986,Jose,(787)-980-0517,Licenciado,423,3/31/2025,Al dia,10
"Inst. Hogar Angel Gabriel, Inc.",Adultos Mayores,Institucion de Adultos,Operando,"Galleguito G-53, Urb. Parque Ecuestre",Carolina,982,Carolina,72031,982,Reyna,(787)-463-9489,Licenciado,448,7/18/2024,Al dia,12
Inst. Hogar Joan,Adultos Mayores,Institucion de Adultos,Operando,"Ave. South Main #2002, Sabana Gardens",Carolina,982,Carolina,72031,982,Joanne,(787)-454-3433,Licenciado,408,3/29/2025,Al dia,14
"Inst. Eugenia Rivera Rivera, Corp.",Adultos Mayores,Institucion de Adultos,Operando,"Bo. Cacao Carr. 853, Km 5.0 Carolina",Carolina,982,Carolina,72031,987,Eugenia,(939)-413-4553,Licenciado,412,5/11/2024,Al dia,14
"Hogar Esperanza De Amor, Inc.",Adultos Mayores,Institucion de Adultos,Operando,Calle 24 Bloq. 51 Casa #7,Carolina,982,Carolina,72031,982,Yaitza,(787)-963-0528,Licenciado,255,3/22/2024,Al dia,15
"Inst. La Nueva Esperanza, Inc.",Adultos Mayores,Institucion de Adultos,Operando,"Calle 41 Blq. 45#1 Urb. Villa Carolina, Carolina",Carolina,982,Carolina,72031,982,Brenda,(787)-210-8086,Licenciado,398,5/2/2025,Al dia,16
"Inst. Esperanza De Amor Ii, Inc.",Adultos Mayores,Institucion de Adultos,Operando,"Calle Laurel S-16 Urb. Valle Arriba Heights,",Carolina,982,Carolina,72031,983,Lydia,(787)-379-4353,Licenciado,359,3/24/2025,Al dia,17
"Inst. Hogar Paradise Senior Care, Inc.",Adultos Mayores,Institucion de Adultos,Operando,"Carr. 185 Km. 13.8, Bo. Cedro",Carolina,982,Carolina,72031,987,Abner,(787)-361-4553,Licenciado,439,5/18/2025,Al dia,18
"Hogar Geriatrico Bello Amanecer, Inc.",Adultos Mayores,Institucion de Adultos,Operando,"Urb. Villa Flores,",Carolina,982,Carolina,72031,982,Natividad,(787)-602-6596,Licenciado,458,7/7/2025,Al dia,19
"Inst. Hogar Ana, Inc.",Adultos Mayores,Institucion de Adultos,Operando,Calle Delgado H-19,Carolina,982,Carolina,72031,985,Ana,(787)-379-1981,Licenciado,440,8/16/2025,Al dia,20
Jm Nursing Home,Adultos Mayores,Institucion de Adultos,Operando,Calle 28 Bloque 13-17,Carolina,982,Carolina,72031,987,Sarenid,(787)-214-2520,Licenciado,424,4/11/2025,Al dia,20
Inst. Hogar Juliana,Adultos Mayores,Institucion de Adultos,Operando,"Urbanizacion Felicita Valcarcel Calle Conrrado Sosa #8, Carolina",Carolina,982,Carolina,72031,982,Ana,(787)-554-5319,Licenciado,422,2/2/2025,Al dia,22
Inst. Perla Dorada,Adultos Mayores,Institucion de Adultos,Operando,"Calle Conrrado Sosa #5 B Urb. Felicita De Leon, Buenaventura, Carolina",Carolina,982,Carolina,72031,987,Maria,(787)-247-3387,Licenciado,273,7/21/2025,Al dia,25
"Campea Esperanza Para La Vejez, Inc./ Centro Edad Dorada Cecilia Orta",Adultos Mayores,CAMPEA,Operando,Calle Salvador Brau #2,Carolina,982,Carolina,72031,985,Jose,(939)-414-7142,Licenciado,29,9/19/2023,Al dia,50
Centro De Alzheimer Gigantes Haces Falta,Adultos Mayores,CAMPEA,Operando,Urb. Valle Arriba Heights,Carolina,982,Carolina,72031,983,Ahniella,(787)-593-5003,Licenciado,27,3/17/2025,Al dia,60
Inst. Hogar Corazon Dorado,Adultos Mayores,Institucion de Adultos,Operando,"Bo. Martin Gonzalez, Carr. 860 K 3.0 Sector Campeche",Carolina,982,Carolina,72031,982,Arelis Perez,(939)-281-8283,Licenciado,428,7/1/2021,Vencida,70
Campea,Adultos Mayores,CAMPEA,Operando,Carr. 190 Km 1.3,Carolina,982,Carolina,72031,982,Neida,(787)-276-0215,Licenciado,38,5/23/2025,Al dia,75
Campea  La Ceramica,Adultos Mayores,CAMPEA,Operando,"Calle Patty C- 43 Urb. La Ceramica,",Carolina,982,Carolina,72031,982,Caridad,(787)-690-4334,Licenciado,31,3/24/2024,Al dia,100
Centro De Actividades Multiples Diamantino,Adultos Mayores,CAMPEA,Operando,Bo. Martin Gonzalez Carr. 860 Km 1.1 Carolina,Carolina,982,Carolina,72031,987,Iris,(787)-374-9637,Licenciado,3,10/22/2023,Al dia,150
"Inst. Hogar Waterman Village, Inc.",Adultos Mayores,Institucion de Adultos,Operando,"Lola Rodriguez De Tio 794, Urb. Country Club,",San Juan,902,Carolina,72031,983,Sonya,(939)-263-5875,Licenciado,503,9/13/2023,Al dia,17
Hogar Ben David Corp.,Adultos Mayores,Institucion de Adultos,Operando,Calle 8 Num. 5,San Juan,902,Carolina,72031,987,Jose,(787)-426-5056,Licenciado,514,8/7/2024,Al dia,33
Campea Wilson Ramos (Municipio De Catano),Adultos Mayores,CAMPEA,Operando,"Calle Destino 7, Catano",Bayamon,934,Catano,72033,962,Wanda,(787)-788-0404,Licenciado,4,5/8/2024,Al dia,75
"Inst. Hogar Dulce Soto, Inc.",Adultos Mayores,Institucion de Adultos,Operando,Bo. Beatriz Sector Huertas Carr. Num. 1 Km 48.6,Caguas,725,Cayey,72035,736,Dulce,(787)-617-2454,Licenciado,361,7/13/2023,Vencida,16
Hs Esperanza Dorada,Adultos Mayores,Hogar Sustituto,Operando,"Bda. Nueva Calle Velazquez #10, Bajos",Guayama,784,Cayey,72035,736,Maritza,(787)-383-2777,Licenciado,188,3/24/2025,Al dia,6
Hogar Sustituto Bella Vista,Adultos Mayores,Hogar Sustituto,Operando,Carr 743 Int 736 Bo Las Vegas Sector Los Lopez,Guayama,784,Cayey,72035,736,Jose,(787)-228-3627,Licenciado,L06230777,7/11/2025,Al dia,6
Inst. Hogar Ramonita,Adultos Mayores,Institucion de Adultos,Operando,"Urb, La Plata",Guayama,784,Cayey,72035,736,Cinthia,(787)-371-8412,Licenciado,119,3/14/2024,Al dia,8
Montellano Nursing Home,Adultos Mayores,Institucion de Adultos,Operando,Calle A -1-1 Repto. Montellano,Guayama,784,Cayey,72035,736,Yaritza,(787)-941-3543,Licenciado,126,7/3/2025,Al dia,12
Hogar Angelito Joshua Emilio,Adultos Mayores,Institucion de Adultos,Operando,Urb. Mirador Echevarria Calle Flamboyan E-1,Guayama,784,Cayey,72035,736,Emilio,(787)-463-3532,Licenciado,L06230337,3/28/2025,Al dia,14
Campea Centro De Respiro Y Rehabilitacion San Franciso,Adultos Mayores,Centro de Cuido para Adultos,Operando,"Urb. Mirador Echevarria, Calle Almendros",Guayama,784,Cayey,72035,736,Hector,(787)-738-1834,Licenciado,5,1/16/2024,Al dia,15
Inst. Hogar San Jose,Adultos Mayores,Institucion de Adultos,Operando,"Calle Robles B-12, Urb. Villas De San Jose, Cayey",Guayama,784,Cayey,72035,736,Maria,(787)-205-3242,Licenciado,39,3/31/2024,Al dia,15
Inst. Hogar Villa Remanso,Adultos Mayores,Institucion de Adultos,Operando,Altura De Santa Maria #14,Guayama,784,Cayey,72035,736,Juan,(787)-605-0235,Licenciado,168,3/9/2025,Al dia,19
"Inst. Bnh,Lcc",Adultos Mayores,Institucion de Adultos,Operando,"Bo Beatriz, Parc Viejas Carr. #1 Km 49.5",Guayama,784,Cayey,72035,736,Anamaris,(939)-400-5344,Licenciado,136,3/16/2024,Al dia,20
"Inst. Te Devuelvo Tu Amor, Llc",Adultos Mayores,Institucion de Adultos,Operando,Urb. Alturas De Santa Maria Lote #26,Guayama,784,Cayey,72035,736,Kimberly,(787)-595-3516,Licenciado,189,4/14/2025,Al dia,20
Campea Centro Ramon Frade Para Personas De Mayor Edad,Adultos Mayores,CAMPEA,Operando,"Centro Comunal, Res. Benigno FernaNdez GarciA, Cayey",Guayama,784,Cayey,72035,736,Angelys,(787)-738-3864,Licenciado,44,5/23/2025,Al dia,75
Institucion Centro De Envejecientes Carlos De La Paz,Adultos Mayores,Institucion de Adultos,Operando,"Parcelas Aguas Claras, Calle Magnolia #169, Ceiba",Humacao,741,Ceiba,72037,735,Aida,(787)-655-7585,Licenciado,197,1/19/2024,Al dia,14
Campea Narciso Matta Gauthier,Adultos Mayores,CAMPEA,Operando,Complejo Deportivo Rafael Monte Felix,Humacao,741,Ceiba,72037,735,Maria,(787)-435-4715,Licenciado,12,6/12/2025,Al dia,75
Ciales Home Health,Adultos Mayores,Centro de Cuido para Adultos,Operando,"C. Diego, Ciales, 00638",Arecibo,612,Ciales,72039,638,Marisol,(787)-214-2227,Licenciado,831,12/12/9999,Vencida,1
Quality Home Care Inc,Adultos Mayores,Institucion de Adultos,Operando,51 Bo. Caliche Ciales,Arecibo,612,Ciales,72039,638,Rolando,(787)-486-9690,Licenciado,L02230443,4/16/2025,Al dia,9
Inst. Hogar Ana Gabriel,Adultos Mayores,Institucion de Adultos,Operando,Carr. 633 Km 0.7 Bo. Campamento,Arecibo,612,Ciales,72039,638,Anabell Padin Robles,(787)-501-4445,Licenciado,282,2/1/2025,Al dia,32
Centro De Actividades Multiples Don Pedro Mayol,Adultos Mayores,CAMPEA,Operando,"Carr.  149 Bo Pesas Km 19.7 , Ciales",Arecibo,612,Ciales,72039,638,Dinorah Class Rivera,(787)-871-6080,Licenciado,4,1/28/2025,Al dia,50
Estancias De Los Valles,Adultos Mayores,Centro de Cuido para Adultos,Operando,"Sector Los Valles, Carretera 171, Bo Km 0.9",Caguas,725,Cidra,72041,739,No Name Found,(787)-487-3873,Licenciado,848,12/12/9999,Vencida,1
Hogar Hacienda La Bendicion Cidra,Adultos Mayores,Centro de Cuido para Adultos,Operando," 5Rjp+45V, C. Del Diamante",Caguas,725,Cidra,72041,739,No Name Found,(787)-869-1340,Licenciado,687,12/12/9999,Vencida,1
Hogar Sustituto Pantojas Rosario,Adultos Mayores,Hogar Sustituto,Operando,Carr. 1 Bo. Beatriz Sector Huertas Carr. 1 Km 51.6,Caguas,725,Cidra,72041,739,Marilis,(787)-225-0383,Licenciado,141,6/28/2023,Vencida,6
Hs Ortiz Martinez,Adultos Mayores,Hogar Sustituto,Operando,"Bo. Beatriz, Carretera Num. 1 Km. 51.3 Sector Campito, Cidra",Caguas,725,Cidra,72041,739,Michelle,(787)-234-9942,Licenciado,153,12/12/9999,Vencida,6
"Vista Lago Hogar De Envejecientes, Inc.",Adultos Mayores,Institucion de Adultos,Operando,Carr. 172 Km. 16.5 Villas Del Lago,Caguas,725,Cidra,72041,739,Stephanie,(939)-630-2191,Licenciado,367,11/13/2024,Al dia,11
"Inst. Perez Vazquez, Inc.",Adultos Mayores,Institucion de Adultos,Operando,"Carr 172, Km. 15.2, Bo. Arenas Parcelas Gandaras 1 #75",Caguas,725,Cidra,72041,739,Virginia,(787)-600-2660,Licenciado,282,4/20/2024,Al dia,20
"Institucion Hogar Mileus, Inc.",Adultos Mayores,Institucion de Adultos,Operando,Bo. Rabanal Carr. 173 Km 7.5 Cidra,Caguas,725,Cidra,72041,739,Lilybette Soto Rosario,(787)-469-9136,Licenciado,320,6/19/2023,Vencida,20
Centro Cidreno Eterna Primavera Para Personas Con Alzheimer,Adultos Mayores,Centro de Cuido para Adultos,Operando,"Carr. 171 Km. 2.2, Bo. Sud, Cidra",Caguas,725,Cidra,72041,739,Maritza,(787)-714-1496,Licenciado,1,7/4/2025,Al dia,30
Campea Accion Social Cidra,Adultos Mayores,CAMPEA,Operando,"Bo. Arena, Sector Clara Carr. 734 Km. 1.5,",Caguas,725,Cidra,72041,739,Edith Rivera,(787)-236-6595,Licenciado,39,9/12/2025,Al dia,50
Campea Departamento De La Familia Adfan Cidra,Adultos Mayores,CAMPEA,Operando,"Calle Jose De Diego Final, Cidra",Caguas,725,Cidra,72041,739,Victor Santana,(787)-383-1305,Licenciado,36,3/30/2023,Vencida,70
Hs Santos - Colon,Adultos Mayores,Hogar Sustituto,Operando,Urb. Valle Paraiso C8,Ponce,716,Coamo,72043,769,Jaritza,(939)-335-2431,Licenciado,L09230672,6/27/2025,Al dia,3
Hogar Sustituto Rolon Torres (Daisy),Adultos Mayores,Hogar Sustituto,Operando,"Ave. Los Heroes Km 34.2, Sector La Vega",Ponce,716,Coamo,72043,769,Daisy Rolon Torres,(939)-285-4678,Licenciado,1731,9/26/2023,Al dia,4
Inst. Hogar Sagrado Corazon De Maria,Adultos Mayores,Institucion de Adultos,Operando,"Bo. Santa Catalina, Sector La Zanja Blanca, Carr.553, Km 1.4",Ponce,716,Coamo,72043,769,Marisol,(787)-432-7567,Licenciado,1767,5/13/2025,Al dia,10
Inst. Jovenes Del Ayer,Adultos Mayores,Institucion de Adultos,Operando,"Bo. Cuyon, Carr. 704 Km 1.8 Sector El Madrigal",Ponce,716,Coamo,72043,769,Marcele,(787)-613-3868,Licenciado,1746,7/17/2024,Al dia,13
Institucion Hogar Principe De Paz,Adultos Mayores,Institucion de Adultos,Operando,Carr. 5559  Km 2.1,Ponce,716,Coamo,72043,769,Leticia,(787)-635-6963,Licenciado,979,6/29/2024,Al dia,24
Institucion Sendero De Vida Inc.,Adultos Mayores,Institucion de Adultos,Operando,Bo. Pasto Sector Santa Ana,Ponce,716,Coamo,72043,769,Yolanda,(787)-673-6852,Licenciado,1781,12/3/2023,Al dia,24
Institucion De Envejecientes Villa Los Llanos,Adultos Mayores,Institucion de Adultos,Operando,"Ext. Llanuras De Barcelona, Solar 2 Bloque 3-A, Km 25.2 Los",Ponce,716,Coamo,72043,769,Farisleida Almanzar Cornier,(787)-317-1276,Licenciado,1611,1/27/2024,Al dia,25
Inst. Amor Al Projimo,Adultos Mayores,Institucion de Adultos,Operando,Bo. Los Llanos Calle 2 #49 C,Ponce,716,Coamo,72043,769,Ada,(787)-374-2611,Licenciado,1682,4/23/2024,Al dia,28
Institucion De Envejecientes Villa Noelia,Adultos Mayores,Institucion de Adultos,Operando,Calle 9 45A Villa Madrid,Ponce,716,Coamo,72043,769,Saul,(787)-825-7373,Licenciado,1274,2/22/2024,Al dia,34
Inst. Casa Jardin Inc.,Adultos Mayores,Institucion de Adultos,Operando,Carr. 14 Km 27.2 Int. Bo. Los Llanos,Ponce,716,Coamo,72043,769,Leonardo,(787)-632-7790,Licenciado,1114,12/26/2024,Al dia,40
Campea Florencio Cruz Reyes,Adultos Mayores,CAMPEA,Operando,Calle 2 #59 Bo. Los Llanos,Ponce,716,Coamo,72043,769,Luz,(787)-383-5291,Licenciado,1647,3/7/2025,Al dia,50
Centro De Envejecientes Victor Alvarado Correa,Adultos Mayores,CAMPEA,Operando,Bo. Rio Jueyes Carr. 154 Km 2.8,Ponce,716,Coamo,72043,769,Maritzally,(787)-202-5811,Licenciado,1629,7/23/2024,Al dia,60
Campea Centro De Envejecientes Villa Madrid,Adultos Mayores,CAMPEA,Operando,"Urb. Villa Madrid Carr. 14, Calle 15",Ponce,716,Coamo,72043,769,Marilyn,(787)-341-7882,Licenciado,1432,9/11/2024,Al dia,75
Campea Centro Coameno Para La Vejez Inc.,Adultos Mayores,CAMPEA,Operando,Calle Mario Braschi #28,Ponce,716,Coamo,72043,769,Carmen,(787)-825-1651,Licenciado,254,2/28/2025,Al dia,120
Edward Centeno Carrucini / Comerio Home Care,Adultos Mayores,Institucion de Adultos,Operando,"Carr. 167 Ramal, 829 Km 0.1",Bayamon,934,Comerio,72045,782,Edward,(787)-597-0075,Licenciado,L03230442,3/14/2025,Al dia,18
Inst. Golden Elderly Home,Adultos Mayores,Institucion de Adultos,Operando,Carretera 780 Km 9.3 Bo. Palomas,Caguas,725,Comerio,72045,782,Alexis,(787)-679-0906,Licenciado,347,6/19/2025,Al dia,46
Campea Jardin De La Esperanza,Adultos Mayores,CAMPEA,Operando,"Carr. 775 Km. 0.6 Int. Bo. Pinas, Comerio",Caguas,725,Comerio,72045,782,Lauriannie,(787)-875-2625,Licenciado,34,6/19/2025,Al dia,60
Hs Hector M. Gonzalez Santiago / Hs Los Reyes,Adultos Mayores,Hogar Sustituto,Operando,"Carr. 159 Km 7.1 Bo. Cibuco 3 Sector Caobos, Corozal",Bayamon,934,Corozal,72047,783,Hector,(939)-422-1728,Licenciado,149,11/29/2024,Al dia,6
"Inst. Hogar Sagrado Corazon De Jesus Corozal, Inc.",Adultos Mayores,Institucion de Adultos,Operando,"Carr. 159 Km. 17.3 Bo. Mavillas, Corozal",Bayamon,934,Corozal,72047,783,Yolanda,(787)-693-3524,Licenciado,351,11/14/2023,Al dia,20
"Institucion Hogar Villa Paz, Inc.",Adultos Mayores,Institucion de Adultos,Operando,Carr. 159 Km 16.5 Bo. Abras  Mavilla,Bayamon,934,Corozal,72047,783,Elvin Santiago Ortiz,(787)-203-7748,Licenciado,234,3/30/2024,Al dia,36
Campea Petra Marrero Rosado,Adultos Mayores,CAMPEA,Operando,"Carr. 159 Km. 13.9 Bo. Abras, Sector Portugues,",Bayamon,934,Corozal,72047,783,Lilliam,(787)-859-0788,Licenciado,11,11/11/2024,Al dia,80
Hogar Sustituto Edwin Toro/Ramon Zuniga - Hogar Hacienda La Rosa,Adultos Mayores,Hogar Sustituto,Operando,"Urb. Los Prados Sur, #146",Bayamon,934,Dorado,72051,646,Edwin,(787)-378-5659,Licenciado,148,11/6/2024,Al dia,5
Inst. Golden Age Castle Inc,Adultos Mayores,Institucion de Adultos,Operando,Calle Kennedy D- 26 Bo. Mameyal,Bayamon,934,Dorado,72051,646,Hilda,(787)-244-3938,Licenciado,488,3/16/2024,Al dia,9
Inst. Hogar Luz De Esperanza Y Vida,Adultos Mayores,Institucion de Adultos,Operando,Urb. Doraville Calle 3 #39177,Bayamon,934,Dorado,72051,646,Jose,(787)-671-5147,Licenciado,473,3/30/2025,Al dia,10
Institucion Marta Catalina,Adultos Mayores,Institucion de Adultos,Operando,"Bo Espinosa, Sector Kuilan, Calle Jazmin Num. 7",Bayamon,934,Dorado,72051,646,Maria,(787)-989-6850,Licenciado,381,12/10/2024,Al dia,11
Institucion Aliesther Home Care,Adultos Mayores,Institucion de Adultos,Operando,Calle  Ext. Sur #514 Dorado,Bayamon,934,Dorado,72051,646,Daniel,(939)-244-1235,Licenciado,448,8/21/2024,Al dia,14
